TIMESTAMP,PM2.5,PM10,NO2,NH3,SO2,CO,MONTH,SEASON,FESTIVAL_SEASON,AQI,AQI_CATEGORY,CITY,STATE,LATITUDE,LONGITUDE
2024-01-02 21:00:00,27.14,56.85,4.06,11.5,2.3,0.23,January,Winter,Christmas & New Year,56.85,Satisfactory,Tiruchirappalli,Tamil Nadu,10.8071144,78.6880939
2024-01-02 22:00:00,32.01,67.41,4.01,11.5,2.56,0.23,January,Winter,Christmas & New Year,67.41,Satisfactory,Tiruchirappalli,Tamil Nadu,10.8071144,78.6880939
2024-01-02 23:00:00,21.24,44.760000000000005,7.98,3.52,7.3,0.23,January,Winter,Christmas & New Year,44.760000000000005,Good,Tiruchirappalli,Tamil Nadu,10.8071144,78.6880939
2024-01-03 00:00:00,21.24,44.760000000000005,7.98,3.52,7.3,0.23,January,Winter,Christmas & New Year,44.760000000000005,Good,Tiruchirappalli,Tamil Nadu,10.8071144,78.6880939
2024-01-03 01:00:00,21.24,44.760000000000005,7.98,3.52,7.3,0.23,January,Winter,Christmas & New Year,44.760000000000005,Good,Tiruchirappalli,Tamil Nadu,10.8071144,78.6880939
2024-01-03 02:00:00,21.24,44.760000000000005,7.98,3.52,7.3,0.23,January,Winter,Christmas & New Year,44.760000000000005,Good,Tiruchirappalli,Tamil Nadu,10.8071144,78.6880939
2024-01-03 03:00:00,21.24,44.760000000000005,7.98,3.52,7.3,0.23,January,Winter,Christmas & New Year,44.760000000000005,Good,Tiruchirappalli,Tamil Nadu,10.8071144,78.6880939
2024-01-03 04:00:00,21.24,44.760000000000005,7.98,3.52,7.3,0.23,January,Winter,Christmas & New Year,44.760000000000005,Good,Tiruchirappalli,Tamil Nadu,10.8071144,78.6880939
2024-01-03 05:00:00,21.24,44.760000000000005,7.98,3.52,7.3,0.23,January,Winter,Christmas & New Year,44.760000000000005,Good,Tiruchirappalli,Tamil Nadu,10.8071144,78.6880939
2024-01-03 06:00:00,21.24,44.760000000000005,7.98,3.52,7.3,0.23,January,Winter,Christmas & New Year,44.760000000000005,Good,Tiruchirappalli,Tamil Nadu,10.8071144,78.6880939
2024-01-03 07:00:00,21.24,44.760000000000005,7.98,3.52,7.3,0.23,January,Winter,Christmas & New Year,44.760000000000005,Good,Tiruchirappalli,Tamil Nadu,10.8071144,78.6880939
2024-01-03 08:00:00,21.24,44.760000000000005,7.98,3.52,7.3,0.23,January,Winter,Christmas & New Year,44.760000000000005,Good,Tiruchirappalli,Tamil Nadu,10.8071144,78.6880939
2024-01-03 09:00:00,21.24,44.760000000000005,7.98,3.52,7.3,0.23,January,Winter,Christmas & New Year,44.760000000000005,Good,Tiruchirappalli,Tamil Nadu,10.8071144,78.6880939
2024-01-03 10:00:00,21.24,44.760000000000005,7.98,3.52,7.3,0.23,January,Winter,Christmas & New Year,44.760000000000005,Good,Tiruchirappalli,Tamil Nadu,10.8071144,78.6880939
2024-01-03 11:00:00,21.24,44.760000000000005,7.98,3.52,7.3,0.23,January,Winter,Christmas & New Year,44.760000000000005,Good,Tiruchirappalli,Tamil Nadu,10.8071144,78.6880939
2024-01-03 12:00:00,21.24,44.760000000000005,7.98,3.52,7.3,0.23,January,Winter,Christmas & New Year,44.760000000000005,Good,Tiruchirappalli,Tamil Nadu,10.8071144,78.6880939
2024-01-03 13:00:00,21.24,44.760000000000005,7.98,3.52,7.3,0.23,January,Winter,Christmas & New Year,44.760000000000005,Good,Tiruchirappalli,Tamil Nadu,10.8071144,78.6880939
2024-01-03 14:00:00,21.24,44.760000000000005,7.98,3.52,7.3,0.23,January,Winter,Christmas & New Year,44.760000000000005,Good,Tiruchirappalli,Tamil Nadu,10.8071144,78.6880939
2024-01-03 15:00:00,21.24,44.760000000000005,7.98,3.52,7.3,0.23,January,Winter,Christmas & New Year,44.760000000000005,Good,Tiruchirappalli,Tamil Nadu,10.8071144,78.6880939
2024-01-03 16:00:00,21.24,44.760000000000005,7.98,3.52,7.3,0.23,January,Winter,Christmas & New Year,44.760000000000005,Good,Tiruchirappalli,Tamil Nadu,10.8071144,78.6880939
2024-01-03 17:00:00,21.24,44.760000000000005,7.98,3.52,7.3,0.23,January,Winter,Christmas & New Year,44.760000000000005,Good,Tiruchirappalli,Tamil Nadu,10.8071144,78.6880939
2024-01-03 18:00:00,21.24,44.760000000000005,7.98,3.52,7.3,0.23,January,Winter,Christmas & New Year,44.760000000000005,Good,Tiruchirappalli,Tamil Nadu,10.8071144,78.6880939
2024-01-03 19:00:00,21.24,44.760000000000005,7.98,3.52,7.3,0.23,January,Winter,Christmas & New Year,44.760000000000005,Good,Tiruchirappalli,Tamil Nadu,10.8071144,78.6880939
2024-01-03 20:00:00,21.24,44.760000000000005,7.98,3.52,7.3,0.23,January,Winter,Christmas & New Year,44.760000000000005,Good,Tiruchirappalli,Tamil Nadu,10.8071144,78.6880939
2024-01-03 21:00:00,21.24,44.760000000000005,7.98,3.52,7.3,0.23,January,Winter,Christmas & New Year,44.760000000000005,Good,Tiruchirappalli,Tamil Nadu,10.8071144,78.6880939
2024-01-03 22:00:00,21.24,44.760000000000005,7.98,3.52,7.3,0.23,January,Winter,Christmas & New Year,44.760000000000005,Good,Tiruchirappalli,Tamil Nadu,10.8071144,78.6880939
