TIMESTAMP,PM10,NO2,SO2,CO,O3,MONTH,SEASON,FESTIVAL_SEASON,AQI,AQI_CATEGORY,CITY,STATE,LATITUDE,LONGITUDE
2024-06-17 13:00:00,77.5,32.05,8.4,3.37,3.66,June,Monsoon,Non-Festival Period,116.91518987341772,Moderate,Thoothukudi,Tamil Nadu,8.8457035,77.9938178
2024-06-17 14:00:00,89.5,30.52,9.3,0.98,1.86,June,Monsoon,Non-Festival Period,89.5,Satisfactory,Thoothukudi,Tamil Nadu,8.8457035,77.9938178
2024-06-17 15:00:00,75.5,27.75,8.93,1.25,16.96,June,Monsoon,Non-Festival Period,75.5,Satisfactory,Thoothukudi,Tamil Nadu,8.8457035,77.9938178
2024-06-17 16:00:00,74.0,24.08,7.9,0.53,36.06,June,Monsoon,Non-Festival Period,74.0,Satisfactory,Thoothukudi,Tamil Nadu,8.8457035,77.9938178
2024-06-17 17:00:00,63.0,27.12,2.4,0.42,2.74,June,Monsoon,Non-Festival Period,63.0,Satisfactory,Thoothukudi,Tamil Nadu,8.8457035,77.9938178
2024-06-17 18:00:00,59.0,25.58,2.9,0.42,22.05,June,Monsoon,Non-Festival Period,59.0,Satisfactory,Thoothukudi,Tamil Nadu,8.8457035,77.9938178
2024-06-17 19:00:00,47.0,32.75,8.63,0.42,0.59,June,Monsoon,Non-Festival Period,47.0,Good,Thoothukudi,Tamil Nadu,8.8457035,77.9938178
2024-06-17 20:00:00,43.75,29.62,8.57,1.56,3.33,June,Monsoon,Non-Festival Period,76.04444444444445,Satisfactory,Thoothukudi,Tamil Nadu,8.8457035,77.9938178
2024-06-17 21:00:00,42.75,40.6,9.93,1.92,4.12,June,Monsoon,Non-Festival Period,95.64444444444445,Satisfactory,Thoothukudi,Tamil Nadu,8.8457035,77.9938178
2024-06-17 22:00:00,64.0,38.45,12.13,1.03,7.64,June,Monsoon,Non-Festival Period,64.0,Satisfactory,Thoothukudi,Tamil Nadu,8.8457035,77.9938178
2024-06-17 23:00:00,51.5,40.72,11.33,0.95,6.79,June,Monsoon,Non-Festival Period,51.5,Satisfactory,Thoothukudi,Tamil Nadu,8.8457035,77.9938178
2024-06-18 00:00:00,56.5,38.75,10.28,0.64,4.7,June,Monsoon,Non-Festival Period,56.5,Satisfactory,Thoothukudi,Tamil Nadu,8.8457035,77.9938178
2024-06-18 01:00:00,43.25,35.48,10.62,0.45,0.59,June,Monsoon,Non-Festival Period,44.349999999999994,Good,Thoothukudi,Tamil Nadu,8.8457035,77.9938178
2024-06-18 02:00:00,28.0,36.75,8.63,4.97,2.64,June,Monsoon,Non-Festival Period,136.96582278481011,Moderate,Thoothukudi,Tamil Nadu,8.8457035,77.9938178
2024-06-18 03:00:00,32.75,34.88,8.63,5.82,1.57,June,Monsoon,Non-Festival Period,147.61772151898734,Moderate,Thoothukudi,Tamil Nadu,8.8457035,77.9938178
2024-06-18 04:00:00,29.0,32.58,8.63,1.36,22.05,June,Monsoon,Non-Festival Period,65.15555555555555,Satisfactory,Thoothukudi,Tamil Nadu,8.8457035,77.9938178
2024-06-18 05:00:00,27.25,30.15,8.63,0.62,22.05,June,Monsoon,Non-Festival Period,37.6875,Good,Thoothukudi,Tamil Nadu,8.8457035,77.9938178
2024-06-18 06:00:00,23.75,31.92,8.25,0.63,1.38,June,Monsoon,Non-Festival Period,39.900000000000006,Good,Thoothukudi,Tamil Nadu,8.8457035,77.9938178
2024-06-18 07:00:00,31.75,32.33,8.13,0.82,1.18,June,Monsoon,Non-Festival Period,41.0,Good,Thoothukudi,Tamil Nadu,8.8457035,77.9938178
2024-06-18 08:00:00,41.0,29.58,6.88,2.02,1.96,June,Monsoon,Non-Festival Period,41.0,Good,Thoothukudi,Tamil Nadu,8.8457035,77.9938178
2024-06-18 09:00:00,43.5,28.4,4.7,1.47,5.68,June,Monsoon,Non-Festival Period,71.14444444444445,Satisfactory,Thoothukudi,Tamil Nadu,8.8457035,77.9938178
2024-06-18 10:00:00,42.5,27.62,8.63,3.11,2.02,June,Monsoon,Non-Festival Period,113.65696202531646,Moderate,Thoothukudi,Tamil Nadu,8.8457035,77.9938178
2024-06-18 11:00:00,42.0,25.3,8.63,2.11,1.47,June,Monsoon,Non-Festival Period,101.1253164556962,Moderate,Thoothukudi,Tamil Nadu,8.8457035,77.9938178
2024-06-18 12:00:00,35.0,25.65,8.63,2.31,3.92,June,Monsoon,Non-Festival Period,103.63164556962025,Moderate,Thoothukudi,Tamil Nadu,8.8457035,77.9938178
2024-06-18 13:00:00,35.25,30.05,8.63,2.92,1.7,June,Monsoon,Non-Festival Period,111.2759493670886,Moderate,Thoothukudi,Tamil Nadu,8.8457035,77.9938178
2024-06-18 14:00:00,43.75,32.7,7.27,2.81,22.05,June,Monsoon,Non-Festival Period,109.89746835443037,Moderate,Thoothukudi,Tamil Nadu,8.8457035,77.9938178
2024-06-18 15:00:00,39.0,22.5,9.7,2.78,0.39,June,Monsoon,Non-Festival Period,109.52151898734176,Moderate,Thoothukudi,Tamil Nadu,8.8457035,77.9938178
2024-06-18 16:00:00,39.0,23.28,8.63,1.17,22.05,June,Monsoon,Non-Festival Period,54.8111111111111,Satisfactory,Thoothukudi,Tamil Nadu,8.8457035,77.9938178
2024-06-18 17:00:00,49.25,24.78,8.63,1.56,3.33,June,Monsoon,Non-Festival Period,76.04444444444445,Satisfactory,Thoothukudi,Tamil Nadu,8.8457035,77.9938178
2024-06-18 18:00:00,51.0,28.28,8.63,0.43,22.05,June,Monsoon,Non-Festival Period,51.0,Satisfactory,Thoothukudi,Tamil Nadu,8.8457035,77.9938178
2024-06-18 19:00:00,48.75,30.25,8.63,0.4,0.59,June,Monsoon,Non-Festival Period,48.75,Good,Thoothukudi,Tamil Nadu,8.8457035,77.9938178
2024-06-18 20:00:00,57.75,31.67,3.25,2.5,11.56,June,Monsoon,Non-Festival Period,106.0126582278481,Moderate,Thoothukudi,Tamil Nadu,8.8457035,77.9938178
2024-06-18 21:00:00,48.25,34.98,0.5,2.03,12.94,June,Monsoon,Non-Festival Period,48.25,Good,Thoothukudi,Tamil Nadu,8.8457035,77.9938178
